date,h00922,spread,s2_score,signal_used,nav,cash,shares,position,exposure,trade_action
2014-09-15,3397.93,0.2016,0.1582491582491582,,114251.2374751772,0.0,33.6237760857867,1.0,1.0,NONE
2014-09-16,3326.08,0.2365000000000003,0.1812080536912751,,111835.36916341343,0.0,33.6237760857867,1.0,1.0,NONE
2014-09-17,3336.48,0.2942999999999998,0.2675585284280936,,112185.05643470562,0.0,33.6237760857867,1.0,1.0,NONE
2014-09-18,3353.65,0.3357000000000001,0.2966666666666667,,112762.37667009857,0.0,33.6237760857867,1.0,1.0,NONE
2014-09-19,3380.98,0.8216000000000001,0.840531561461794,,113681.31447052312,0.0,33.6237760857867,1.0,1.0,NONE
2014-09-22,3329.34,0.9349999999999996,0.9503311258278144,,111944.98267345311,0.0,33.6237760857867,1.0,1.0,NONE
2014-09-23,3357.16,0.9327,0.9471947194719472,,112880.39612415968,0.0,33.6237760857867,1.0,1.0,NONE
2014-09-24,3408.05,0.9358999999999992,0.950657894736842,,114591.51008916537,0.0,33.6237760857867,1.0,1.0,NONE
2014-09-25,3406.15,0.9757999999999996,0.960655737704918,,114527.62491460238,0.0,33.6237760857867,1.0,1.0,NONE
2014-09-26,3410.21,0.9714999999999998,0.9575163398692812,,114664.13744551067,0.0,33.6237760857867,1.0,1.0,NONE
2014-09-29,3437.4,0.9838,0.9609120521172638,,115578.3679172832,0.0,33.6237760857867,1.0,1.0,NONE
2014-09-30,3441.87,0.9951,0.961038961038961,,115728.66619638666,0.0,33.6237760857867,1.0,1.0,NONE
2014-10-08,3467.38,0.9689,0.948220064724919,0.961038961038961,116586.4087243351,0.0,33.6237760857867,1.0,1.0,NONE
2014-10-09,3483.02,0.9525999999999994,0.9387096774193548,,117112.2845823168,0.0,33.6237760857867,1.0,1.0,NONE
2014-10-10,3462.59,0.9660000000000002,0.945337620578778,,116425.35083688419,0.0,33.6237760857867,1.0,1.0,NONE
2014-10-13,3445.25,1.0191000000000003,0.9647435897435898,,115842.31455955663,0.0,33.6237760857867,1.0,1.0,NONE
2014-10-14,3434.67,1.1203999999999996,0.9808306709265175,,115486.57500856901,0.0,33.6237760857867,1.0,1.0,NONE
2014-10-15,3457.96,1.1731000000000005,0.9904458598726116,,116269.67275360698,0.0,33.6237760857867,1.0,1.0,NONE
